"RDA element,RDA recording method,Alignment,M21 Bibliographic encoding"
"degree supervisor,identifier,aligns with,700 1* $0"
"degree supervisor,IRI,aligns with,700 0* $1"
"degree supervisor,IRI,aligns with,700 1* $1"
"appellant person,unstructured description,aligns with,500 ** $a"
"appellant person,structured description,aligns with,""700 0* $a, b, c, d, g, q, u"""
"appellant person,structured description,aligns with,""700 1* $a, b, c, d, g, q, u"""
"appellant person,identifier,aligns with,700 0* $0"
"appellant person,identifier,aligns with,700 1* $0"
"appellant person,IRI,aligns with,700 0* $1"
"appellant person,IRI,aligns with,700 1* $1"
"plaintiff person,unstructured description,aligns with,500 ** $a"
"plaintiff person,structured description,aligns with,""700 0* $a, b, c, d, g, q, u"""
"plaintiff person,structured description,aligns with,""700 1* $a, b, c, d, g, q, u"""
"plaintiff person,identifier,aligns with,700 0* $0"
"plaintiff person,identifier,aligns with,700 1* $0"
"plaintiff person,IRI,aligns with,700 0* $1"
"plaintiff person,IRI,aligns with,700 1* $1"
"judge,unstructured description,aligns with,500 ** $a"
"judge,structured description,aligns with,""700 0* $a, b, c, d, g, q, u"""
"judge,structured description,aligns with,""700 1* $a, b, c, d, g, q, u"""
"judge,identifier,aligns with,700 0* $0"
"judge,identifier,aligns with,700 1* $0"
"judge,IRI,aligns with,700 0* $1"
"judge,IRI,aligns with,700 1* $1"
"praeses,unstructured description,aligns with,500 ** $a"
"praeses,structured description,aligns with,""100 0* $a, b, c, d, g, q, u"""
"praeses,structured description,aligns with,""100 1* $a, b, c, d, g, q, u"""
"praeses,structured description,aligns with,""700 0* $a, b, c, d, g, q, u"""
"praeses,structured description,aligns with,""700 1* $a, b, c, d, g, q, u"""
"praeses,identifier,aligns with,100 0* $0"
"praeses,identifier,aligns with,100 1* $0"
"praeses,identifier,aligns with,700 0* $0"
"praeses,identifier,aligns with,700 1* $0"
"praeses,IRI,aligns with,100 0* $1"
"praeses,IRI,aligns with,100 1* $1"
"praeses,IRI,aligns with,700 0* $1"
"praeses,IRI,aligns with,700 1* $1"
"issuing agent,unstructured description,aligns with,500 ** $a"
"issuing agent,unstructured description,aligns with,550 ** $a"
"issuing agent,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"issuing agent,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"issuing agent,structured description,aligns with,""711 ** $a, c, d, e, f, g, n, q, u"""
"issuing agent,identifier,aligns with,700 ** $0"
"issuing agent,identifier,aligns with,710 ** $0"
"issuing agent,identifier,aligns with,711 ** $0"
"issuing agent,IRI,aligns with,700 ** $1"
"issuing agent,IRI,aligns with,710 ** $1"
"issuing agent,IRI,aligns with,711 ** $1"
"dedicator agent,unstructured description,aligns with,500 ** $a"
"dedicator agent,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"dedicator agent,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"dedicator agent,identifier,aligns with,700 ** $0"
"dedicator agent,identifier,aligns with,710 ** $0"
"dedicator agent,IRI,aligns with,700 ** $1"
"dedicator agent,IRI,aligns with,710 ** $1"
"honouree agent of work,unstructured description,aligns with,500 ** $a"
"honouree agent of work,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"honouree agent of work,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"honouree agent of work,identifier,aligns with,700 ** $0"
"honouree agent of work,identifier,aligns with,710 ** $0"
"honouree agent of work,IRI,aligns with,700 ** $1"
"honouree agent of work,IRI,aligns with,710 ** $1"
"programmer agent,unstructured description,aligns with,500 ** $a"
"programmer agent,structured description,aligns with,""100 ** $a, b, c, d, g, q, u"""
"programmer agent,structured description,aligns with,""110 ** $a, b, c, d, g, u"""
"programmer agent,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"programmer agent,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"programmer agent,identifier,aligns with,100 ** $0"
"programmer agent,identifier,aligns with,110 ** $0"
"programmer agent,identifier,aligns with,700 ** $0"
"programmer agent,identifier,aligns with,710 ** $0"
"programmer agent,IRI,aligns with,100 ** $1"
"programmer agent,IRI,aligns with,110 ** $1"
"programmer agent,IRI,aligns with,700 ** $1"
"programmer agent,IRI,aligns with,710 ** $1"
"designer agent,unstructured description,aligns with,500 ** $a"
"designer agent,structured description,aligns with,""100 ** $a, b, c, d, g, q, u"""
"designer agent,structured description,aligns with,""110 ** $a, b, c, d, g, u"""
"designer agent,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"designer agent,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"designer agent,identifier,aligns with,100 ** $0"
"designer agent,identifier,aligns with,110 ** $0"
"designer agent,identifier,aligns with,700 ** $0"
"designer agent,identifier,aligns with,710 ** $0"
"designer agent,IRI,aligns with,100 ** $1"
"designer agent,IRI,aligns with,110 ** $1"
"designer agent,IRI,aligns with,700 ** $1"
"designer agent,IRI,aligns with,710 ** $1"
"cartographer agent of work,unstructured description,aligns with,500 ** $a"
"cartographer agent of work,structured description,aligns with,""100 ** $a, b, c, d, g, q, u"""
"cartographer agent of work,structured description,aligns with,""110 ** $a, b, c, d, g, u"""
"cartographer agent of work,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"cartographer agent of work,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"cartographer agent of work,identifier,aligns with,100 ** $0"
"cartographer agent of work,identifier,aligns with,110 ** $0"
"cartographer agent of work,identifier,aligns with,700 ** $0"
"cartographer agent of work,identifier,aligns with,710 ** $0"
"cartographer agent of work,IRI,aligns with,100 ** $1"
"cartographer agent of work,IRI,aligns with,110 ** $1"
"cartographer agent of work,IRI,aligns with,700 ** $1"
"cartographer agent of work,IRI,aligns with,710 ** $1"
"composer agent of work,unstructured description,aligns with,500 ** $a"
"composer agent of work,structured description,aligns with,""100 ** $a, b, c, d, g, q, u"""
"composer agent of work,structured description,aligns with,""110 ** $a, b, c, d, g, u"""
"composer agent of work,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"composer agent of work,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"composer agent of work,identifier,aligns with,100 ** $0"
"composer agent of work,identifier,aligns with,110 ** $0"
"composer agent of work,identifier,aligns with,700 ** $0"
"composer agent of work,identifier,aligns with,710 ** $0"
"composer agent of work,IRI,aligns with,100 ** $1"
"composer agent of work,IRI,aligns with,110 ** $1"
"composer agent of work,IRI,aligns with,700 ** $1"
"composer agent of work,IRI,aligns with,710 ** $1"
"inventor agent,unstructured description,aligns with,500 ** $a"
"inventor agent,structured description,aligns with,""100 ** $a, b, c, d, g, q, u"""
"inventor agent,structured description,aligns with,""110 ** $a, b, c, d, g, u"""
"inventor agent,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"inventor agent,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"inventor agent,identifier,aligns with,100 ** $0"
"inventor agent,identifier,aligns with,110 ** $0"
"inventor agent,identifier,aligns with,700 ** $0"
"inventor agent,identifier,aligns with,710 ** $0"
"inventor agent,IRI,aligns with,100 ** $1"
"inventor agent,IRI,aligns with,110 ** $1"
"inventor agent,IRI,aligns with,700 ** $1"
"inventor agent,IRI,aligns with,710 ** $1"
"compiler agent,unstructured description,aligns with,500 ** $a"
"compiler agent,structured description,aligns with,""100 ** $a, b, c, d, g, q, u"""
"compiler agent,structured description,aligns with,""110 ** $a, b, c, d, g, u"""
"compiler agent,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"compiler agent,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"compiler agent,identifier,aligns with,100 ** $0"
"compiler agent,identifier,aligns with,110 ** $0"
"compiler agent,identifier,aligns with,700 ** $0"
"compiler agent,identifier,aligns with,710 ** $0"
"compiler agent,IRI,aligns with,100 ** $1"
"compiler agent,IRI,aligns with,110 ** $1"
"compiler agent,IRI,aligns with,700 ** $1"
"compiler agent,IRI,aligns with,710 ** $1"
"photographer agent of work,unstructured description,aligns with,500 ** $a"
"photographer agent of work,structured description,aligns with,""100 ** $a, b, c, d, g, q, u"""
"photographer agent of work,structured description,aligns with,""110 ** $a, b, c, d, g, u"""
"photographer agent of work,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"photographer agent of work,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"photographer agent of work,identifier,aligns with,100 ** $0"
"photographer agent of work,identifier,aligns with,110 ** $0"
"photographer agent of work,identifier,aligns with,700 ** $0"
"photographer agent of work,identifier,aligns with,710 ** $0"
"photographer agent of work,IRI,aligns with,100 ** $1"
"photographer agent of work,IRI,aligns with,110 ** $1"
"photographer agent of work,IRI,aligns with,700 ** $1"
"photographer agent of work,IRI,aligns with,710 ** $1"
"interviewer agent of work,unstructured description,aligns with,500 ** $a"
"interviewer agent of work,unstructured description,aligns with,511 ** $a"
"interviewer agent of work,structured description,aligns with,""100 ** $a, b, c, d, g, q, u"""
"interviewer agent of work,structured description,aligns with,""110 ** $a, b, c, d, g, u"""
"interviewer agent of work,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"interviewer agent of work,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"interviewer agent of work,identifier,aligns with,100 ** $0"
"interviewer agent of work,identifier,aligns with,110 ** $0"
"interviewer agent of work,identifier,aligns with,700 ** $0"
"interviewer agent of work,identifier,aligns with,710 ** $0"
"interviewer agent of work,IRI,aligns with,100 ** $1"
"interviewer agent of work,IRI,aligns with,110 ** $1"
"interviewer agent of work,IRI,aligns with,700 ** $1"
"interviewer agent of work,IRI,aligns with,710 ** $1"
"artist agent,unstructured description,aligns with,500 ** $a"
"artist agent,structured description,aligns with,""100 ** $a, b, c, d, g, q, u"""
"artist agent,structured description,aligns with,""110 ** $a, b, c, d, g, u"""
"artist agent,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"artist agent,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"artist agent,identifier,aligns with,100 ** $0"
"artist agent,identifier,aligns with,110 ** $0"
"artist agent,identifier,aligns with,700 ** $0"
"artist agent,identifier,aligns with,710 ** $0"
"artist agent,IRI,aligns with,100 ** $1"
"artist agent,IRI,aligns with,110 ** $1"
"artist agent,IRI,aligns with,700 ** $1"
"artist agent,IRI,aligns with,710 ** $1"
"interviewee agent of work,unstructured description,aligns with,500 ** $a"
"interviewee agent of work,unstructured description,aligns with,511 ** $a"
"interviewee agent of work,structured description,aligns with,""100 ** $a, b, c, d, g, q, u"""
"interviewee agent of work,structured description,aligns with,""110 ** $a, b, c, d, g, u"""
"interviewee agent of work,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"interviewee agent of work,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"interviewee agent of work,identifier,aligns with,100 ** $0"
"interviewee agent of work,identifier,aligns with,110 ** $0"
"interviewee agent of work,identifier,aligns with,700 ** $0"
"interviewee agent of work,identifier,aligns with,710 ** $0"
"interviewee agent of work,IRI,aligns with,100 ** $1"
"interviewee agent of work,IRI,aligns with,110 ** $1"
"interviewee agent of work,IRI,aligns with,700 ** $1"
"interviewee agent of work,IRI,aligns with,710 ** $1"
"choreographer agent,unstructured description,aligns with,500 ** $a"
"choreographer agent,structured description,aligns with,""100 ** $a, b, c, d, g, q, u"""
"choreographer agent,structured description,aligns with,""110 ** $a, b, c, d, g, u"""
"choreographer agent,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"choreographer agent,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"choreographer agent,identifier,aligns with,100 ** $0"
"choreographer agent,identifier,aligns with,110 ** $0"
"choreographer agent,identifier,aligns with,700 ** $0"
"choreographer agent,identifier,aligns with,710 ** $0"
"choreographer agent,IRI,aligns with,100 ** $1"
"choreographer agent,IRI,aligns with,110 ** $1"
"choreographer agent,IRI,aligns with,700 ** $1"
"choreographer agent,IRI,aligns with,710 ** $1"
"author agent,unstructured description,aligns with,500 ** $a"
"author agent,structured description,aligns with,""100 ** $a, b, c, d, g, q, u"""
